,Event Name,SDK version,player_id,Platform,Current Game
170,OnBoardingErrorPopUp,13,0.0,Android,superstore
171,GetStarted_btnClk,12,0.0,Android,playhouse
172,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
173,AgeScreen_Reached,12,0.0,Android,playhouse
174,QuestionScreen_Reached,16.2,1838256.0,iPadOS,doctor
175,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
176,LoginScreen_LoginOTP_Btn_Clk,13,0.0,Android,superstore
177,HomeScrCardSwiped,16.4.1,2932920.0,iPadOS,bath
178,LoginScreen_LoginOTP_screen_reached,13,0.0,Android,superstore
179,AgeScreen_AgeSelected_cont_btn_clk,16.1.1,0.0,iOS,bath
180,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
181,HomeScreen_playBtnClk,16.4.1,2932920.0,iPadOS,bath
182,GetStarted_Carousel_moves,13,0.0,Android,superstore
183,OnBoardingErrorPopUp,12,0.0,Android,superstore
184,OnBoardingErrorPopUp,12,0.0,Android,superstore
185,GetStarted_Carousel_moves,9,0.0,Android,playhouse
186,GetStarted_reached,13,0.0,Android,superstore
187,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
188,Interests_continueClk,11,0.0,Android,bakery
189,PickSubject_reached,11,0.0,Android,bakery
190,GetStarted_Carousel_moves,9,0.0,Android,playhouse
191,InGameScreen_Reached,16.4.1,2932920.0,iPadOS,bath
192,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
193,LoginScreen_continueBtnClk,12,0.0,Android,playhouse
194,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
195,LoginOTP_NoEmail_ErrorPopup_Reached,13,0.0,Android,superstore
196,DoctorPlayBtnClk,16.5.1,2976338.0,iOS,doctor
197,CharcterScrReached,16.5.1,2976338.0,iOS,doctor
198,GetStarted_Carousel_moves,10,0.0,Android,playhouse
199,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
200,GetStarted_btnClk,10,0.0,Android,superstore
201,GamePlay_ToiletBtnClk,16.3.1,1874420.0,iPadOS,bath
202,EnterEmail_backClk,13,0.0,Android,playhouse
203,Interests_reached,13,0.0,Android,playhouse
204,DoctorPlayBtnClk,16.5.1,2976338.0,iOS,doctor
205,CharcterScrReached,16.5.1,2976338.0,iOS,doctor
206,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
207,AgeScreen_Continue_btn_clk,16.1.1,0.0,iOS,bath
208,Interests_reached,16.1.1,0.0,iOS,bath
209,GetStarted_btnClk,13,0.0,Android,superstore
210,AgeScreen_Reached,13,0.0,Android,superstore
211,OnBoardingErrorPopUp,13,0.0,Android,superstore
212,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
213,GamePlay_WashingExitBtnClk,16.5.1,3168755.0,iPadOS,bath
214,AgeScreen_AgeScrolled,12,0.0,Android,playhouse
215,LoginOTP_NoEmail_ErrorPopup_Reached,13,0.0,Android,superstore
216,GetStarted_btnClk,10,0.0,Android,playhouse
217,AgeScreen_Reached,10,0.0,Android,playhouse
218,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
219,LoginScreen_loginFailure,12,0.0,Android,playhouse
220,LoginScreen_loginFailureInformationOk,12,0.0,Android,playhouse
221,HomeScreen_tap_tutorial,13,3183969.0,Android,superstore
222,GetStarted_Carousel_moves,10,0.0,Android,superstore
223,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
224,GetStarted_Carousel_moves,13,0.0,Android,superstore
225,GetStarted_reached,13,0.0,Android,superstore
226,GameRecommendationHomeScreen,,1831163.0,,bath
227,GetStarted_Carousel_moves,12,0.0,Android,playhouse
228,HomeScreenPlayPressed,16.5.1,793436.0,iPadOS,streetsoccer
229,AgeScreen_AgeSelected_cont_btn_clk,11,0.0,Android,wonderworld
230,SkidosAndroidPermissionScreen_reached,9,0.0,Android,superstore
231,GamePlay_BathroomExitBtnClk,16.3.1,3178843.0,iOS,bath
232,OnBoardingErrorPopUp,12,0.0,Android,superstore
233,AgeScreen_Sel_btn_clk,13,0.0,Android,superstore
234,GamePlay_IronBtnClk,16.5.1,1996717.0,iPadOS,bath
235,AgeScreen_Continue_btn_clk,13,0.0,Android,superstore
236,Interests_reached,13,0.0,Android,superstore
237,Interests_scroll,16.1.1,0.0,iOS,bath
238,GetStarted_btnClk,13,0.0,Android,superstore
239,AgeScreen_Sel_btn_clk,10,0.0,Android,playhouse
240,AgeScreen_Continue_btn_clk,10,0.0,Android,playhouse
241,Interests_reached,10,0.0,Android,playhouse
242,GamePlay_ToiletSceneReached,16.3.1,1874420.0,iPadOS,bath
243,Interests_continueClk,15.6.1,0.0,iPadOS,bath
244,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
245,GamePlay_ToiletSceneReached,16.3.1,1874420.0,iPadOS,bath
246,LoginScreen_reached,9,0.0,Android,playhouse
247,GetStarted_alreadyRegisteredClk,9,0.0,Android,playhouse
248,GameRecommendationV2,,1831163.0,,bath
249,AgeScreen_Reached,13,0.0,Android,superstore
250,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
251,Interests_backClk,10,0.0,Android,playhouse
252,AgeScreen_Reached,10,0.0,Android,playhouse
253,AgeScreen_Sel_btn_clk,11,0.0,Android,wonderworld
254,CompulsoryActivityReached,16.5.1,3183848.0,iOS,kidshospital
255,AgeScreen_Continue_btn_clk,11,0.0,Android,wonderworld
256,HomeScrOverlayActScroll,16.5.1,3183848.0,iOS,kidshospital
257,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
258,Interests_reached,11,0.0,Android,wonderworld
259,Preschool_rewardscreen_Object_Clk,16.5.1,2081190.0,iPadOS,carwash
260,CharcterSelected,16.5.1,2976338.0,iOS,doctor
261,TreatmentScrReached,16.5.1,2976338.0,iOS,doctor
262,Interests_continueClk,13,0.0,Android,superstore
263,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
264,GamePlay_LevelExitBtnClk,16.5.1,3168755.0,iPadOS,bath
265,GameOpened,16.4.1,1831163.0,iPadOS,bath
266,HomeScreen_Reached,16.4.1,1831163.0,iPadOS,bath
267,homescreen_tutorial_next_btnclck,16.4.1,1831163.0,iPadOS,bath
268,QuestionScreen_RightAnswer_Sel,16.2,1838256.0,iPadOS,doctor
269,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
270,AgeScreen_Sel_btn_clk,13,0.0,Android,superstore
271,AgeScreen_Continue_btn_clk,13,0.0,Android,superstore
272,SplashLocalAnimationVideo_reached,15.4,0.0,iPadOS,bath
273,Interests_reached,13,0.0,Android,superstore
274,AgeScreen_back_btn_clk,10,0.0,Android,playhouse
275,GetStarted_reached,10,0.0,Android,playhouse
276,AgeScreen_Reached,10,0.0,Android,superstore
277,GetStarted_Carousel_moves,10,0.0,Android,playhouse
278,GetStarted_btnClk,10,0.0,Android,superstore
279,AgeScreen_Reached,10,0.0,Android,superstore
280,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
281,GamePlay_IroningSceneReached,16.5.1,1996717.0,iPadOS,bath
282,EnterEmail_backClk,12,0.0,Android,superstore
283,PickSubject_reached,12,0.0,Android,superstore
284,GetStarted_Carousel_moves,9,0.0,Android,playhouse
285,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
286,GamePlay_IroningSceneReached,16.5.1,1996717.0,iPadOS,bath
287,PickSubject_continue,13,0.0,Android,superstore
288,EnterEmail_reached,13,0.0,Android,superstore
289,PickSubject_back,12,0.0,Android,superstore
290,Interests_continueClk,13,0.0,Android,superstore
291,Interests_reached,12,0.0,Android,superstore
